Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
39.0,169.0,61.0,7.2,5.0,26.2,5.64,158.0,130.0,105.0,-24.4,53.0,337.0
9.0,133.0,54.0,3.4,10.0,10.0,3.81,139.0,124.0,100.0,-24.6,40.0,298.0
22.0,184.0,62.0,8.0,10.0,41.0,5.86,215.0,162.0,165.0,3.3,50.0,209.0
326.0,1109.0,357.0,96.3,201.0,191.6,76.89,997.0,783.0,783.0,-0.4,214.0,5708.0
559.0,1438.0,354.0,89.6,544.0,262.1,108.74,1434.0,879.0,820.0,-59.3,614.0,7326.0
471.0,1614.0,544.0,126.5,441.0,297.5,100.38,1585.0,1143.0,1099.0,-44.7,487.0,7863.0
15.0,71.0,16.0,1.2,4.0,6.9,2.22,67.0,56.0,49.0,-6.8,18.0,80.0
754.0,2717.0,931.0,127.2,1145.0,363.6,116.16,2752.0,1963.0,1911.0,-51.7,841.0,11646.0
33.0,178.0,61.0,7.3,8.0,34.9,7.59,188.0,145.0,140.0,-4.9,47.0,426.0
1431.0,4087.0,1131.0,254.4,992.0,1082.3,296.93,4116.0,2656.0,2761.0,105.8,1355.0,21896.0
627.0,2160.0,856.0,184.3,769.0,413.9,129.26,2181.0,1533.0,1739.0,206.2,441.0,15302.0
668.0,2962.0,1193.0,153.8,1174.0,591.4,152.24,3119.0,2294.0,2463.0,169.0,656.0,13576.0
352.0,1051.0,382.0,97.7,189.0,366.6,52.28,1165.0,699.0,835.0,135.8,330.0,5113.0
711.0,2505.0,758.0,179.7,464.0,395.9,167.01,2408.0,1794.0,1687.0,-106.7,721.0,13004.0
625.0,2395.0,841.0,146.4,980.0,520.2,129.99,2463.0,1770.0,1701.0,-68.3,762.0,13311.0
245.0,1036.0,281.0,81.3,406.0,234.8,50.36,1120.0,791.0,761.0,-29.6,359.0,5382.0
84.0,466.0,156.0,25.3,61.0,79.5,25.56,479.0,382.0,344.0,-37.6,134.0,1139.0
255.0,693.0,215.0,67.9,79.0,248.2,44.48,747.0,438.0,509.0,70.9,238.0,2021.0
695.0,2435.0,658.0,135.2,909.0,563.3,99.52,2615.0,1740.0,1884.0,143.6,732.0,10831.0
323.0,1448.0,618.0,121.1,622.0,232.3,92.8,1572.0,1125.0,1139.0,13.7,433.0,6977.0
599.0,2412.0,773.0,19.6,713.0,494.2,121.65,2522.0,1813.0,1734.0,-79.1,788.0,11871.0
1366.0,5034.0,1434.0,252.0,1966.0,1050.5,219.79,5063.0,3668.0,3880.0,212.0,1183.0,25558.0
51.0,222.0,65.0,11.5,6.0,14.5,6.07,223.0,171.0,134.0,-37.6,89.0,382.0
22.0,170.0,54.0,5.6,12.0,2.0,4.5,161.0,148.0,117.0,-31.2,44.0,343.0
18.0,219.0,62.0,10.0,9.0,-4.6,6.24,202.0,201.0,163.0,-37.6,39.0,243.0
322.0,1145.0,406.0,101.2,228.0,328.4,89.14,1281.0,823.0,897.0,74.0,384.0,5694.0
771.0,1703.0,388.0,152.1,567.0,479.2,124.54,1726.0,932.0,941.0,9.4,785.0,8354.0
597.0,1824.0,625.0,169.5,487.0,362.7,118.66,1838.0,1227.0,1303.0,75.9,535.0,7936.0
687.0,2915.0,972.0,145.9,1298.0,397.7,135.41,2950.0,2228.0,2210.0,-17.2,740.0,13658.0
47.0,230.0,70.0,6.4,8.0,12.4,8.56,204.0,183.0,146.0,-36.5,57.0,474.0
1677.0,4822.0,1333.0,338.3,1140.0,1493.6,342.53,5186.0,3145.0,3292.0,147.3,1894.0,24211.0
881.0,2660.0,1115.0,244.2,937.0,339.7,151.28,2738.0,1779.0,2151.0,371.9,588.0,17676.0
773.0,3546.0,1470.0,190.7,1439.0,435.0,177.78,3413.0,2773.0,2781.0,7.3,633.0,15266.0
324.0,1262.0,467.0,102.7,235.0,154.0,63.26,1207.0,938.0,943.0,5.6,264.0,5673.0
